poziom,udzial_poz_min,udzial_poz_max,udzial_poz_rozstep,rozmiar_min,rozmiar_max,rozmiar_rozstep_wzgl,udzial_ery_min,udzial_ery_max,pacjenci_wspolni,wariant,n_splits,shuffle,seed
pacjentowy,0.04302496328928047,0.043098384728340676,7.342143906020893e-05,13620,13621,7.341964220161034e-05,0.9548788665785729,0.9567095138258567,0,bez_mieszanych,3,True,13.0
pacjentowy,0.04302496328928047,0.043098384728340676,7.342143906020893e-05,13620,13621,7.341964220161034e-05,0.9547549728698117,0.9566207604282388,0,bez_mieszanych,3,True,101.0
pacjentowy,0.04302496328928047,0.043098384728340676,7.342143906020893e-05,13620,13621,7.341964220161034e-05,0.9551545734523553,0.9564989685061422,0,bez_mieszanych,3,True,2024.0
rekordowy,0.042951541850220265,0.04319099473877401,0.00023945288855374558,8171,8173,0.00024473214067203446,0.9552134523990123,0.9563025042978328,0,bez_mieszanych,5,False,
rekordowy,0.042956798433484274,0.04319099473877401,0.00023419630528973695,8171,8173,0.00024473214067203446,0.9549738295091987,0.9565777347079486,0,bez_mieszanych,5,True,42.0
rekordowy,0.042956798433484274,0.04319099473877401,0.00023419630528973695,8171,8173,0.00024473214067203446,0.9541986786698631,0.9564806557444643,0,bez_mieszanych,5,True,7.0
rekordowy,0.042956798433484274,0.04319099473877401,0.00023419630528973695,8171,8173,0.00024473214067203446,0.9542820340480154,0.9569493300817112,0,bez_mieszanych,5,True,13.0
rekordowy,0.042956798433484274,0.04319099473877401,0.00023419630528973695,8171,8173,0.00024473214067203446,0.9550865143340072,0.9567376763487682,0,bez_mieszanych,5,True,101.0
rekordowy,0.042956798433484274,0.04319099473877401,0.00023419630528973695,8171,8173,0.00024473214067203446,0.9547449921743911,0.9572745686462357,0,bez_mieszanych,5,True,2024.0
pacjentowy,0.04306864064602961,0.043073910915320604,5.270269290993945e-06,8172,8173,0.00012236607033601723,0.9529488392953308,0.9631549658532038,0,bez_mieszanych,5,False,
pacjentowy,0.04306864064602961,0.043073910915320604,5.270269290993945e-06,8172,8173,0.00012236607033601723,0.9543825307699961,0.9568310734243187,0,bez_mieszanych,5,True,42.0
pacjentowy,0.04306864064602961,0.043073910915320604,5.270269290993945e-06,8172,8173,0.00012236607033601723,0.9543764362889909,0.9569261368203951,0,bez_mieszanych,5,True,7.0
pacjentowy,0.04306864064602961,0.043073910915320604,5.270269290993945e-06,8172,8173,0.00012236607033601723,0.955076185562345,0.9566135864154452,0,bez_mieszanych,5,True,13.0
pacjentowy,0.04306864064602961,0.043073910915320604,5.270269290993945e-06,8172,8173,0.00012236607033601723,0.9549328120959912,0.9570177406698775,0,bez_mieszanych,5,True,101.0
pacjentowy,0.04306864064602961,0.043073910915320604,5.270269290993945e-06,8172,8173,0.00012236607033601723,0.9546170860209119,0.9566830374091605,0,bez_mieszanych,5,True,2024.0
rekordowy,0.042839657282741736,0.043308049914362615,0.00046839263162087863,4085,4087,0.0004894642813440689,0.9541437492367497,0.957125225076767,0,bez_mieszanych,10,False,
